Atoll,Image date/time (UTC),Maxar Image ID,Target lat,Off-nadir angle,Sun elevation,Sun azimuth,Target azimuth,Camera elevation,Camera azimuth,Sun RA,Sun d,Camera RA,Camera d,phase angle,Best classification phase angle
Kaukura,3/28/2018 20:27,103001007885C800,-15.7563,25.3728,61.8505,50.1998,135.8366,64.6272,315.8366,338.7196761,2.935600836,17.39302006,2.89402129,38.62134546,5
Kaukura,9/10/2015 20:10,1.03001E+15,-15.7563,20.232,59.0482,50.4722,175.7442,69.768,355.7442,336.5438901,4.712760239,1.474952522,4.422959896,24.85226943,20
Kaukura,9/10/2015 20:10,10300100482E2100,-15.7563,15.4073,59.1815,50.1932,165.3486,74.5927,345.3486,336.7394391,4.730058938,3.853588657,-0.825415688,27.65124383,20
Kaukura,8/19/2019 20:05,1030010097806B00,-15.7563,26.1105,51.8168,43.8459,208.5313,63.8895,28.5313,333.9891002,12.4528183,347.7626325,7.370980998,14.48294953,all
Kili,4/24/2019 23:28,103001009153CE00,5.646111,15.0834,70.5791,66.2476,134.2765,74.9166,314.2765,341.7943731,13.06546938,11.17651532,16.00859217,28.56958151,10
Kilinailau,5/24/2020 23:48,10300100A9BB7200,-4.76,28.2842,53.3164,44.6665,251.6117,61.7158,71.6117,333.2847613,20.90757373,333.1952588,4.352174066,16.55562819,all
Kilinailau,1/14/2015 0:27,103001003C535500,-4.76,28.8315,64.4453,132.4244,61.8465,61.1685,241.8465,340.0009831,-21.39969522,26.46359418,-17.42437697,43.84891658,all
Kiritimati,6/14/2018 20:55,1.03001E+12,1.8708,27.9276,58.5572,45.0376,252.9658,62.0724,72.9658,336.2958499,23.34543667,332.9925078,9.553702952,14.14876385,all
Kiritimati,6/14/2018 20:55,103001008051A300,1.8708,24.9478,58.7589,44.8513,264.6414,65.0522,84.6414,336.5321932,23.29096573,335.1053316,3.954798552,19.38527313,all
Kiritimati,6/14/2016 20:56,1030010057CFEE00,1.8708,14.4932,58.8144,44.6138,7.5751,75.5068,187.5751,336.6646466,23.34956657,1.936485464,-12.49426228,43.54548928,all
Kiritimati,3/4/2012 21:21,1030010010CD4100,1.8708,5.902,68.9229,111.9005,154.7464,84.098,334.7464,340.3984973,-5.946801013,2.534326001,7.205189136,25.70506977,all
