atoll,species,population
Maiana,Anous_stolidus,627.0
Majuro,Anous_stolidus,404.0
Makemo,Anous_stolidus,752.0
Makunudhoo,Anous_stolidus,0.0
Malden,Anous_stolidus,1000.0
Maloelap,Anous_stolidus,728.0
Malum,Anous_stolidus,0.0
Manihi,Anous_stolidus,570.0
Manihiki,Anous_stolidus,657.0
Manra,Anous_stolidus,50.0
Manuae,Anous_stolidus,1119.0
Manuhangi,Anous_stolidus,0.0
Marakei,Anous_stolidus,596.0
Maria,Anous_stolidus,72.0
Maria_Est,Anous_stolidus,301.0
Marokau,Anous_stolidus,465.0
Marutea_Nord,Anous_stolidus,495.0
Marutea_Sud,Anous_stolidus,794.0
Mataiva,Anous_stolidus,458.0
Matureivavao,Anous_stolidus,244.0
Maupihaa,Anous_stolidus,562.0
McKean,Anous_stolidus,3260.0
Midway,Anous_stolidus,2000.0
Miladhunmadulu,Anous_stolidus,0.0
Mili,Anous_stolidus,533.0
Minicoy,Anous_stolidus,0.0
Mokil,Anous_stolidus,175.0
Morane,Anous_stolidus,900.0
Moruroa,Anous_stolidus,754.0
Motu_One,Anous_stolidus,411.0
Motutunga,Anous_stolidus,331.0
Mulaku,Anous_stolidus,0.0
Murilo,Anous_stolidus,195.0
Namoluk,Anous_stolidus,130.0
Namonuito,Anous_stolidus,649.0
Namorik,Anous_stolidus,416.0
Namu,Anous_stolidus,739.0
Nanumanga,Anous_stolidus,725.0
Nanumea,Anous_stolidus,848.0
Napuka,Anous_stolidus,1019.0
Nengonengo,Anous_stolidus,872.0
Ngcheangel,Anous_stolidus,34.0
Ngulu,Anous_stolidus,842.0
Niau,Anous_stolidus,395.0
Nihiru,Anous_stolidus,558.0
Nikumaroro,Anous_stolidus,40.0
Nikunau,Anous_stolidus,767.0
Ninigo,Anous_stolidus,342.0
Niutao,Anous_stolidus,843.0
Nomwin,Anous_stolidus,163.0
Nonouti,Anous_stolidus,969.0
North_Male,Anous_stolidus,0.0
North_Nilandhe,Anous_stolidus,0.0
Nuguria,Anous_stolidus,345.0
Nui,Anous_stolidus,794.0
Nukapu,Anous_stolidus,62.0
Nukufetau,Anous_stolidus,706.0
Nukulaelae,Anous_stolidus,830.0
Nukumanu,Anous_stolidus,558.0
Nukumbasanga,Anous_stolidus,0.0
Nukunonu,Anous_stolidus,20000.0
Nukuoro,Anous_stolidus,286.0
Nukutepipi,Anous_stolidus,460.0
Numa_Miombilou,Anous_stolidus,300.0
Nupani,Anous_stolidus,300.0
Oeno,Anous_stolidus,1600.0
Olimarao,Anous_stolidus,244.0
Onotoa,Anous_stolidus,1005.0
Ontong_Java,Anous_stolidus,530.0
