species,atoll,source,Order,Family
"Emoia jakati (Kopstein, 1926)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia nigra (Jacquinot & Guichenot, 1853)",Atafu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Scincidae
"Emoia nigra (Jacquinot & Guichenot, 1853)",Nukunonu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Scincidae
"Emoia nigra (Jacquinot & Guichenot, 1853)",Nupani,"Pierce, R. et al. (2017) Bird and invasive species work at Santa Cruz Islands, Solomon's, in October 2017",Squamata,Scincidae
"Emoia nigra (Jacquinot & Guichenot, 1853)",Swains,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Losap,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Nomwin,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Oroluk,"Buden, D.W. (1999) Reptiles, birds, and mammals of Oroluk atoll, Eastern Caroline Islands",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Scincidae
"Eugongylus albofasciolatus (Günther, 1872)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
Eugongylus sp.,Ngcheangel,"Crombie, R.I., & Pregill, G.K. (1999) A checklist of the herpetofauna of the Palau Islands (Republic of Belau), Oceania",Squamata,Scincidae
"Eutropis carinata (Schneider, 1801)",Kavaratti,"Ghosh, A.K. (1991) Fauna of Lakshadweep",Squamata,Scincidae
"Eutropis palauensis (Barley, Diesmos, Siler, Martinez & Brown, 2020)",Ngcheangel,"Barley, A.J., et al. (2020) Taxonomic revision of Philippine Sun Skinks (Reptilia - Squamata - Scincidae - Eutropis), and descriptions of eight new species",Squamata,Scincidae
"Eutropis palauensis (Barley, Diesmos, Siler, Martinez & Brown, 2020)",Ulithi,"Barley, A.J., et al. (2020) Taxonomic revision of Philippine Sun Skinks (Reptilia - Squamata - Scincidae - Eutropis), and descriptions of eight new species",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Jaluit,"Gressitt, J.L. (1961) Terrestrial fauna",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Losap,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Lukunor,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Ngcheangel,"Crombie, R.I., & Pregill, G.K. (1999) A checklist of the herpetofauna of the Palau Islands (Republic of Belau), Oceania",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Nomwin,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Lamprolepis smaragdina (Lesson, 1829)",Oroluk,"Buden, D.W. (1999) Reptiles, birds, and mammals of Oroluk atoll, Eastern Caroline Islands",Squamata,Scincidae
