atoll,country,country_status,human_population,number_inhabited_islands
Nanumanga,Tuvalu,atoll_nation,391.0,1
Nanumea,Tuvalu,atoll_nation,610.0,1
Napuka,French_Polynesia,nation_with_atolls,255.0,1
Nengonengo,French_Polynesia,nation_with_atolls,0.0,0
Ngcheangel,Palau,nation_with_atolls,41.0,1
Ngulu,Federated_States_Micronesia,nation_with_atolls,6.0,1
Niau,French_Polynesia,nation_with_atolls,206.0,1
Nihiru,French_Polynesia,nation_with_atolls,0.0,0
Nikumaroro,Kiribati,atoll_nation,0.0,0
Nikunau,Kiribati,atoll_nation,1907.0,1
Ninigo,Papua_New_Guinea,nation_with_atolls,2400.0,6
Nissan,Papua_New_Guinea,nation_with_atolls,7500.0,3
Niulakita,Tuvalu,atoll_nation,36.0,1
Niutao,Tuvalu,atoll_nation,550.0,1
