atoll,nppv,chl,phyc,temp,velo
Felidhu,1.881822945,0.119692478,0.847306804,28.40399927,0.121850449
French_Frigate_Shoals,0.702336804,0.071199582,0.746474343,28.26579114,0.075018304
Funafuti,1.511154092,0.099757366,0.762076279,28.41962396,0.052326565
Gaafaru,1.862112948,0.118881201,0.851339234,28.40152673,0.112538396
Glorioso,1.618913971,0.117897296,0.837663314,28.34667487,0.102600296
Great_Chagos_Bank,1.596339404,0.106963578,0.820152815,28.38310441,0.080658324
Haddhunmathi,1.753580449,0.112825501,0.816564942,28.40798453,0.103736973
Hao,0.904722617,0.073348611,0.742115763,28.34126869,0.047629754
Haraiki,1.550840993,0.107457009,0.817567984,28.35106691,0.045859199
Helen,1.726823899,0.1088632,0.806064034,28.41321385,0.152451449
Hereheretue,0.977788209,0.079500757,0.756211004,28.32441601,0.060679032
Hikueru,1.34367217,0.095232383,0.797774477,28.3485562,0.048325462
Hiti,1.720603318,0.117332125,0.830895739,28.35854512,0.042779884
Huon,1.052122103,0.084909178,0.794479576,28.31641026,0.061579099
Huvadhu,1.660504939,0.108873799,0.801097155,28.41211598,0.089435952
Ifalik,1.197633558,0.081262381,0.772876991,28.40856223,0.082882373
Ihavandhippolu,1.591411548,0.103885859,0.848360677,28.39990429,0.124819184
Jaluit,2.092055273,0.140771532,0.81220341,28.40416228,0.07678349
Jemo,1.408682888,0.092471998,0.788289981,28.38198659,0.083679136
Johnston,0.622751366,0.062726886,0.678969723,28.32191281,0.061443657
Kademat,1.640360385,0.107673501,0.876644733,28.3995463,0.106244689
Kalpeni,1.689424288,0.110962538,0.876327368,28.40000598,0.120429186
Kapingamarangi,1.970875268,0.124725252,0.812968628,28.42379583,0.048812332
Katiu,1.701193261,0.115754726,0.825707757,28.36083596,0.041597271
Kauehi,1.711295999,0.115057193,0.824645388,28.36554909,0.044913864
Kaukura,1.834109217,0.124099535,0.83774968,28.36717023,0.045020862
Kavaratti,1.595423858,0.104876273,0.871141845,28.39973774,0.109905599
Kilinailau,2.473256517,0.171292822,0.874466602,28.42225158,0.106361246
Kiltan,1.690012838,0.110975344,0.882335473,28.39950886,0.108976922
Kiritimati,2.429687712,0.180141126,0.904793175,28.35141681,0.058378604
Kolhumadulu,1.779965765,0.113592895,0.825982487,28.40631196,0.097645192
Kuop,1.16443677,0.079780169,0.772615975,28.41064002,0.07863327
Kure,0.578404503,0.067231235,0.722171583,28.20048374,0.077072217
Kuria,2.613527681,0.190497459,0.912819635,28.40279062,0.071718531
Kwajalein,1.459681216,0.094910513,0.794104192,28.38968979,0.074260867
Lae,1.324294004,0.087736141,0.772216331,28.39468769,0.066151704
Lamotrek,1.174379297,0.080323559,0.772402413,28.40918527,0.079098587
Laualau,2.305048781,0.157173508,0.827709837,28.42174301,0.063172531
Laysan,0.669304735,0.070093273,0.739539937,28.24882621,0.07702952
Lib,1.49900092,0.09608572,0.7755633,28.3954841,0.075745732
Likiep,1.546112034,0.099678951,0.806703689,28.38419276,0.082741608
Liot,2.381712329,0.165377566,0.835940478,28.42110823,0.068357906
Lisianski,0.658114658,0.068875203,0.733039551,28.26705693,0.08876445
Long_Reef,1.791162989,0.118991782,0.850316549,28.36819767,0.084375159
Losap,1.172327097,0.080071645,0.769729889,28.41122299,0.070978124
Lukunor,1.295986904,0.085506716,0.764666353,28.41482478,0.071619776
Maiana,2.856199869,0.227379693,0.956790176,28.40280068,0.075174603
Majuro,2.092389129,0.139067805,0.82069286,28.39862621,0.091236139
Makemo,1.655924489,0.112963409,0.828286205,28.35771757,0.04837745
